datetime,agree_to_participate_in_survey,legal_age,age,gender,state,city,education_level,education_level_ibge,monthly_family_income,time_in_job_market,employment_situation,job_level,professional_activity,main_job_search_channel,most_likely_communication_channel_to_impact_respondent,offered_benefits_importance,detailed_job_description_importance,salary_importance,about_the_company_importance,job_announcement_visual_quality_importance,announcement_text_size_importance,company_culture_importance,ex_employees_testimonies_importance,work_life_balance_importance,diversity_and_inclusion_intiatives_importance,carreer_plan_importance,prizes_and_recognition_importances,online_presence_importance,company_reputation_importance,company_size_importance,Você já deixou de se candidatar a uma vaga devido à má reputação da empresa?,Você tem alguma sugestão e/ou comentário sobre como as empresas podem melhorar suas estratégias de divulgação de vagas de emprego?
7/17/2024 10:53:47,1,1,Entre 50-54 anos,fem,São Paulo,Osasco,Ensino Médio completo,Médio completo e superior incompleto,"De R$ 5.001,00 a R$ 10.000,00",Menos de 1 ano,Desempregado(a),Assistente,Logística,Sites de vagas de emprego,Anúncio em grupos no WhatsApp,4,4,4,4,2,2,3,4,4,4,4,4,2,4,2,1,Não
7/17/2024 10:57:30,1,1,Entre 55-59 anos,fem,São Paulo,Osasco,Ensino Médio completo,Médio completo e superior incompleto,"De R$ 1.001,00 a R$ 2.000,00",Mais de 10 anos,Empregado(a),Autônomo(a),Serviços Gerais,WhatsApp,E-mail,1,1,1,1,2,1,1,0,1,1,0,1,1,0,1,1,Nao
7/17/2024 11:00:49,1,1,Entre 35-39 anos,fem,São Paulo,São Paulo,Pós-graduação completa,Superior completo,"De R$ 5.001,00 a R$ 10.000,00",Mais de 10 anos,Empregado(a),Gerente,Recursos Humanos,LinkedIn,"Anúncio em grupos no WhatsApp, Menu ""Vagas"" no LinkedIn",4,3,4,3,2,2,4,3,4,4,4,4,3,4,2,1,
7/17/2024 11:04:51,1,1,Entre 55-59 anos,fem,São Paulo,Osasco,Ensino Superior completo,Superior completo,"De R$ 2.001,00 a R$ 3.000,00",Mais de 10 anos,Aposentado(a),Analista Júnior,Tecnologia da Informação,Pessoalmente na própria empresa,"Anúncio em grupos no WhatsApp, Anúncios no Facebook, Anúncios no Instagram, Evento/feira de recrutamento/mutirões de emprego",4,4,3,4,3,3,3,3,4,3,3,4,3,4,3,1,
7/17/2024 11:07:39,1,1,Acima de 65 anos,fem,São Paulo,Osasco,Ensino Fundamental completo,Fundamental completo e médio incompleto,"De R$ 2.001,00 a R$ 3.000,00",Mais de 10 anos,Aposentado(a),Autônomo(a),Beleza,Indicação de amigos/familiares,Amigos,4,4,4,4,3,3,4,3,4,4,4,4,3,4,3,1,Ser o mais clara e objetiva possível.
7/17/2024 11:29:52,1,1,Entre 20-24 anos,masc,São Paulo,São Paulo,Pós-gradução incompleta,Superior completo,"De R$ 3.001,00 a R$ 5.000,00",Mais de 3 até 6 anos,Empregado(a),Especialista,Saúde,Sites de vagas de emprego,E-mail,4,4,4,3,2,1,3,3,4,1,1,3,2,4,0,1,
7/17/2024 11:40:43,1,1,Entre 25-29 anos,fem,São Paulo,São Paulo,Pós-graduação completa,Superior completo,"De R$ 10.001,00 a R$ 20.000,00",Mais de 10 anos,Empregado(a),CEO,Finanças e Contabilidade,Sites de vagas de emprego,"Menu ""Vagas"" no LinkedIn",4,4,4,3,2,3,4,4,4,4,4,4,2,4,2,1,
7/17/2024 11:44:10,1,1,Entre 60-64 anos,fem,São Paulo,Osasco,Ensino Médio incompleto,Fundamental completo e médio incompleto,"De R$ 2.001,00 a R$ 3.000,00",Mais de 10 anos,Aposentado(a),Coordenador(a) ou Supervisor(a),Finanças e Contabilidade,Facebook e/ou Instagram,"Anúncios no Instagram, Banner/cartaz/outdoor",4,3,4,4,3,3,4,3,4,4,4,4,3,4,3,1,
7/17/2024 11:45:26,1,1,Entre 40-44 anos,fem,Espírito Santo,Serra,Pós-graduação completa,Superior completo,"De R$ 5.001,00 a R$ 10.000,00",Mais de 10 anos,Empregado(a),Especialista,Educação,Prefeitura e órgãos públicos,Anúncio em grupos no WhatsApp,3,4,4,4,2,2,4,4,4,1,4,4,1,4,4,1,
7/17/2024 11:48:04,1,1,Entre 55-59 anos,fem,São Paulo,Osasco,Ensino Superior completo,Superior completo,"De R$ 1.001,00 a R$ 2.000,00",Mais de 10 anos,Empregado(a),Assistente,Vendas e Comércio,LinkedIn,"Anúncios no Instagram, E-mail, Menu ""Vagas"" no LinkedIn",4,4,4,4,3,3,4,3,4,4,3,4,3,4,3,1,
7/17/2024 11:59:38,1,1,Entre 60-64 anos,fem,São Paulo,São Paulo,Ensino Superior completo,Superior completo,"De R$ 3.001,00 a R$ 5.000,00",Mais de 10 anos,Aposentado(a),Gerente,Administração e Negócios,Indicação de amigos/familiares,Evento/feira de recrutamento/mutirões de emprego,4,4,4,4,3,2,4,4,4,4,4,3,2,4,2,1,
7/17/2024 12:08:54,1,1,Entre 20-24 anos,fem,São Paulo,São Paulo,Ensino Médio completo,Médio completo e superior incompleto,"De R$ 2.001,00 a R$ 3.000,00",De 1 até 3 anos,Empregado(a),Auxiliar ou Ajudante,Vendas e Comércio,Sites de vagas de emprego,"Menu ""Vagas"" no LinkedIn",3,4,4,3,2,2,2,2,3,3,4,4,2,3,2,1,
7/17/2024 13:01:09,1,1,Entre 60-64 anos,fem,São Paulo,Cotia,Ensino Médio completo,Médio completo e superior incompleto,"De R$ 3.001,00 a R$ 5.000,00",Mais de 10 anos,Aposentado(a),Aposentado(a),Aposentado(a),Sites de vagas de emprego,Evento/feira de recrutamento/mutirões de emprego,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,1,
7/17/2024 13:11:39,1,1,Entre 55-59 anos,fem,São Paulo,São Paulo,Ensino Superior completo,Superior completo,"De R$ 5.001,00 a R$ 10.000,00",Mais de 10 anos,Aposentado(a),Gerente,Vendas e Comércio,Sites de vagas de emprego,Anúncios no Instagram,3,4,4,4,3,2,3,2,4,2,4,4,4,4,3,1,
7/17/2024 13:19:31,1,1,Entre 30-34 anos,fem,Paraíba,Cuité,Pós-graduação completa,Superior completo,"De R$ 3.001,00 a R$ 5.000,00",Mais de 3 até 6 anos,Empregado(a),Especialista,Educação,LinkedIn,"E-mail, Menu ""Vagas"" no LinkedIn, Panfletos",4,4,4,4,2,3,4,4,4,4,4,4,4,4,4,1,Utilizar diversos canais de divulgação com informações claras sobre a vaga
7/17/2024 13:23:40,1,1,Entre 18-19 anos,masc,São Paulo,Osasco,Ensino Médio incompleto,Fundamental completo e médio incompleto,"De R$ 3.001,00 a R$ 5.000,00",Menos de 1 ano,Desempregado(a),Jovem Aprendiz,Administração e Negócios,Sites das empresas,"Anúncios no Instagram, Banner/cartaz/outdoor",4,2,4,3,4,2,1,3,4,0,4,2,3,3,2,1,"Para melhorar a divulgação de vagas de emprego, as empresas devem usar múltiplos canais, como plataformas de emprego, redes sociais e parcerias com universidades. É importante que as descrições das vagas sejam claras e atrativas, destacando responsabilidades, requisitos, benefícios e a cultura da empresa. A otimização para motores de busca (SEO) com palavras-chave relevantes aumenta a visibilidade online. Anúncios pagos nas redes sociais também podem ampliar o alcance de maneira direcionada. Manter transparência no processo seletivo e fornecer feedback aos candidatos é crucial para a imagem da empresa. Programas de indicação de funcionários podem atrair candidatos qualificados e alinhados com a cultura da empresa. Essas práticas aumentam a eficácia na atração de talentos."
7/17/2024 13:29:39,1,1,Entre 18-19 anos,fem,Minas Gerais,Belo Horizonte,Ensino Superior incompleto,Médio completo e superior incompleto,"De R$ 2.001,00 a R$ 3.000,00",De 1 até 3 anos,Empregado(a),Auxiliar ou Ajudante,Administração e Negócios,LinkedIn,"Menu ""Vagas"" no LinkedIn",3,4,4,4,3,2,2,3,4,4,3,2,2,3,3,1,"As empresas devem prezar sempre por um ótimo espaço de trabalho para o funcionário, deixando isso explícito em suas divulgações."
7/17/2024 13:31:37,1,1,Entre 35-39 anos,masc,São Paulo,São Paulo,Pós-graduação completa,Superior completo,"De R$ 5.001,00 a R$ 10.000,00",Mais de 10 anos,Empregado(a),Analista Sênior,Finanças e Contabilidade,LinkedIn,"E-mail, Menu ""Vagas"" no LinkedIn",4,1,4,1,0,0,3,2,4,3,4,1,1,2,3,Não,
7/17/2024 13:32:47,1,1,Entre 30-34 anos,fem,São Paulo,São Bernardo do Campo,Ensino Superior completo,Superior completo,"De R$ 5.001,00 a R$ 10.000,00",Mais de 6 até 10 anos,Empregado(a),Analista Júnior,Educação,Sites das empresas,"Anúncio em grupos no WhatsApp, Anúncios no Facebook",4,3,4,3,0,0,3,3,3,3,3,3,3,4,1,1,
7/17/2024 13:33:48,1,1,Entre 30-34 anos,fem,São Paulo,São Paulo,Pós-graduação completa,Superior completo,"De R$ 20.001,00 a R$ 100.000,00",Mais de 10 anos,Empregado(a),Especialista,Vendas e Comércio,LinkedIn,"Menu ""Vagas"" no LinkedIn",4,4,4,4,3,3,4,4,4,4,4,4,2,4,1,1,
7/17/2024 13:35:45,1,1,Entre 30-34 anos,fem,São Paulo,São Paulo,Ensino Superior completo,Superior completo,"De R$ 10.001,00 a R$ 20.000,00",Mais de 10 anos,Empregado(a),Gerente,Tecnologia da Informação,LinkedIn,"E-mail, Menu ""Vagas"" no LinkedIn",4,4,4,4,3,2,4,3,4,4,3,3,3,3,4,1,
7/17/2024 13:35:49,1,1,Entre 20-24 anos,fem,São Paulo,São Paulo,Ensino Superior completo,Superior completo,"De R$ 5.001,00 a R$ 10.000,00",Mais de 6 até 10 anos,Empregado(a),Especialista,Educação,Sites de vagas de emprego,"Anúncio em grupos no WhatsApp, E-mail, Menu ""Vagas"" no LinkedIn",3,4,3,3,3,3,3,2,2,3,3,3,2,2,2,1,
7/17/2024 13:36:23,1,1,Entre 30-34 anos,fem,São Paulo,Osasco,Ensino Superior completo,Superior completo,"De R$ 5.001,00 a R$ 10.000,00",Mais de 6 até 10 anos,Empregado(a),Analista Pleno,Tecnologia da Informação,LinkedIn,"Menu ""Vagas"" no LinkedIn",4,4,4,4,3,4,4,4,4,4,4,4,2,4,4,1,
7/17/2024 13:41:04,1,1,Entre 30-34 anos,masc,Pernambuco,Paulista,Ensino Superior incompleto,Médio completo e superior incompleto,"De R$ 1.001,00 a R$ 2.000,00",Mais de 10 anos,Empregado(a),Assistente,Saúde,LinkedIn,"E-mail, Menu ""Vagas"" no LinkedIn",4,2,4,3,2,1,3,2,3,2,3,3,3,3,3,1,
7/17/2024 13:41:39,1,1,Entre 25-29 anos,fem,São Paulo,Cotia,Pós-graduação completa,Superior completo,"De R$ 10.001,00 a R$ 20.000,00",Mais de 6 até 10 anos,Empregado(a),Coordenador(a) ou Supervisor(a),Marketing e Publicidade,LinkedIn,"E-mail, Menu ""Vagas"" no LinkedIn",4,4,4,3,3,2,4,3,4,4,4,3,3,4,2,1,
7/17/2024 13:41:40,1,1,Entre 50-54 anos,masc,Goiás,Luziânia,Ensino Superior completo,Superior completo,"De R$ 5.001,00 a R$ 10.000,00",Mais de 10 anos,Empregado(a),Especialista,Militar,Pessoalmente na própria empresa,"Anúncio em grupos no WhatsApp, Banner/cartaz/outdoor",4,3,4,4,2,2,4,4,3,4,4,4,3,3,3,Não,
7/17/2024 13:46:49,1,1,Entre 35-39 anos,fem,Rio de Janeiro,Niterói,Ensino Superior incompleto,Médio completo e superior incompleto,"De R$ 2.001,00 a R$ 3.000,00",Mais de 10 anos,Empregado(a),Assistente,Saúde,Sites das empresas,"Menu ""Vagas"" no LinkedIn",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,
7/17/2024 13:47:54,1,1,Entre 25-29 anos,fem,Bahia,Salvador,Pós-gradução incompleta,Superior completo,"De R$ 10.001,00 a R$ 20.000,00",Mais de 3 até 6 anos,Empregado(a),Analista Pleno,Marketing e Publicidade,LinkedIn,"Anúncio em grupos no WhatsApp, E-mail, Menu ""Vagas"" no LinkedIn",4,4,4,4,3,3,4,3,4,4,4,4,3,4,3,1,
7/17/2024 13:47:57,1,1,Entre 25-29 anos,fem,Ceará,Fortaleza,Pós-gradução incompleta,Superior completo,"De R$ 3.001,00 a R$ 5.000,00",De 1 até 3 anos,Empregado(a),Analista Júnior,Marketing e Publicidade,LinkedIn,"E-mail, Menu ""Vagas"" no LinkedIn",4,4,4,3,3,3,3,4,4,3,4,4,4,4,3,1,"Transparência, clareza e objetividade nas Informações "
7/17/2024 13:48:05,1,1,Entre 30-34 anos,fem,São Paulo,São Paulo,Ensino Superior completo,Superior completo,"De R$ 10.001,00 a R$ 20.000,00",Mais de 6 até 10 anos,Empregado(a),Coordenador(a) ou Supervisor(a),Tecnologia da Informação,LinkedIn,"E-mail, Menu ""Vagas"" no LinkedIn",2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,Não,
7/17/2024 13:50:25,1,1,Entre 60-64 anos,fem,São Paulo,São Paulo,Ensino Médio completo,Médio completo e superior incompleto,"De R$ 1.001,00 a R$ 2.000,00",Mais de 10 anos,Aposentado(a),Aposentado(a),Aposentado(a),Banner/cartaz/outdoor,"Panfletos, Propaganda na televisão",4,4,4,4,3,3,4,3,4,4,4,4,3,4,3,Não,Não
7/17/2024 13:51:33,1,1,Entre 25-29 anos,fem,São Paulo,Cubatão,Ensino Superior completo,Superior completo,"De R$ 2.001,00 a R$ 3.000,00",Mais de 6 até 10 anos,Empregado(a),Assistente,Marketing e Publicidade,LinkedIn,"Anúncio em grupos no WhatsApp, Anúncios no Instagram, E-mail, Menu ""Vagas"" no LinkedIn",4,4,4,4,3,3,4,4,4,3,4,4,4,4,3,1,
7/17/2024 13:52:21,1,1,Entre 30-34 anos,masc,São Paulo,São Paulo,Ensino Superior incompleto,Médio completo e superior incompleto,"De R$ 3.001,00 a R$ 5.000,00",Mais de 10 anos,Empregado(a),Analista Júnior,Finanças e Contabilidade,LinkedIn,E-mail,4,4,4,4,3,2,4,4,4,4,4,4,4,4,4,1,
7/17/2024 13:55:38,1,1,Entre 30-34 anos,fem,São Paulo,São Paulo,Pós-gradução incompleta,Superior completo,"De R$ 10.001,00 a R$ 20.000,00",Mais de 10 anos,Empregado(a),Coordenador(a) ou Supervisor(a),Telecomunicações,LinkedIn,"Anúncio em grupos no WhatsApp, E-mail, Menu ""Vagas"" no LinkedIn",4,4,4,4,4,3,4,2,4,4,4,3,2,3,2,1,"Geralmente não colocam salários e não retornam o motivo de não ser selecionado, pois talvez sejam pontos que as pessoas possam melhorar. "
7/17/2024 13:56:52,1,1,Entre 20-24 anos,fem,São Paulo,Sorocaba,Ensino Superior completo,Superior completo,"De R$ 3.001,00 a R$ 5.000,00",Mais de 3 até 6 anos,Empregado(a),Analista Júnior,Comunicação e Jornalismo,LinkedIn,"Menu ""Vagas"" no LinkedIn",4,4,4,3,3,3,4,2,3,2,4,4,2,3,2,Não,
7/17/2024 13:58:32,1,1,Entre 50-54 anos,fem,São Paulo,Itapevi,Ensino Superior completo,Superior completo,"De R$ 5.001,00 a R$ 10.000,00",Mais de 10 anos,Empregado(a),Gerente,Vendas e Comércio,Sites das empresas,"Anúncio em grupos no WhatsApp, Anúncios no Instagram, Propaganda na televisão",4,4,4,4,4,4,3,4,4,4,4,4,4,4,2,Não,
7/17/2024 13:59:43,1,1,Entre 40-44 anos,fem,São Paulo,São Paulo,Ensino Superior completo,Superior completo,"De R$ 2.001,00 a R$ 3.000,00",Mais de 10 anos,Empregado(a),Gerente,Administração e Negócios,Banner/cartaz/outdoor,E-mail,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,Não,
7/17/2024 14:00:37,1,1,Entre 30-34 anos,masc,Rio de Janeiro,Rio de janeiro,Pós-graduação completa,Superior completo,"De R$ 5.001,00 a R$ 10.000,00",Mais de 10 anos,Empregado(a),Coordenador(a) ou Supervisor(a),Militar,Sites de vagas de emprego,Panfletos,2,1,1,1,1,1,3,3,3,3,3,3,3,3,3,Não,
7/17/2024 14:02:28,1,1,Entre 35-39 anos,masc,São Paulo,São Paulo,Ensino Superior incompleto,Médio completo e superior incompleto,"De R$ 2.001,00 a R$ 3.000,00",Mais de 10 anos,Empregado(a),Analista Júnior,Tecnologia da Informação,LinkedIn,"Menu ""Vagas"" no LinkedIn",4,4,4,4,2,2,3,2,4,4,4,4,2,3,1,Não,"Acredito que ter um site bem organizado, com todas as informações das vagas disponíveis, seria o ideal."
7/17/2024 14:05:05,1,1,Entre 30-34 anos,fem,São Paulo,São Paulo,Pós-gradução incompleta,Superior completo,"De R$ 5.001,00 a R$ 10.000,00",Mais de 10 anos,Empregado(a),Especialista,Direito,LinkedIn,"Menu ""Vagas"" no LinkedIn",4,4,3,3,2,2,4,3,4,3,4,3,2,4,2,1,"Sendo claras e objetivas. Indicando o que realmente é necessário que o candidato possua e quais pontos o destacará. Indicar se é presencial, híbrido ou home-office. Faixa salarial é benéficos (isso deixa  aberto para quem realmente tem interesse na vaga)"
7/17/2024 14:06:38,1,1,Entre 35-39 anos,masc,São Paulo,Osasco,Ensino Superior incompleto,Médio completo e superior incompleto,"De R$ 5.001,00 a R$ 10.000,00",Mais de 10 anos,Empregado(a),Especialista,Vendas e Comércio,LinkedIn,"Menu ""Vagas"" no LinkedIn",4,4,3,3,2,2,3,2,3,3,4,4,3,4,3,Não,
7/17/2024 14:06:43,1,1,Entre 55-59 anos,fem,São Paulo,São Paulo,Ensino Superior completo,Superior completo,"De R$ 5.001,00 a R$ 10.000,00",Mais de 10 anos,Aposentado(a),CEO,Finanças e Contabilidade,Pessoalmente na própria empresa,"Anúncio em grupos no WhatsApp, Anúncios no Instagram, Panfletos",4,4,3,3,4,4,3,4,4,3,4,4,3,4,3,1,
7/17/2024 14:07:05,1,1,Entre 55-59 anos,fem,Paraíba,João Pessoa,Ensino Superior completo,Superior completo,"De R$ 10.001,00 a R$ 20.000,00",Mais de 10 anos,Aposentado(a),Gerente,Administração e Negócios,Sites das empresas,"Anúncio em grupos no WhatsApp, ",4,4,4,4,3,2,4,3,4,4,4,4,4,4,3,1,
7/17/2024 14:08:00,1,1,Entre 35-39 anos,fem,São Paulo,São Paulo,Pós-graduação completa,Superior completo,"De R$ 20.001,00 a R$ 100.000,00",Mais de 10 anos,Empregado(a),Especialista,Direito,LinkedIn,"Anúncio em grupos no WhatsApp, E-mail, Menu ""Vagas"" no LinkedIn",3,4,4,3,3,2,3,4,4,3,4,3,2,4,3,1,
7/17/2024 14:08:43,1,1,Entre 40-44 anos,fem,São Paulo,Carapicuíba,Pós-gradução incompleta,Superior completo,"De R$ 20.001,00 a R$ 100.000,00",Mais de 10 anos,Empregado(a),Diretor(a),Produção e Manufatura,Indicação de amigos/familiares,"Anúncio em grupos no WhatsApp, E-mail, Menu ""Vagas"" no LinkedIn",4,4,4,3,2,2,3,3,3,3,3,3,3,3,2,Não,
7/17/2024 14:10:29,1,1,Entre 50-54 anos,fem,São Paulo,Osasco,Ensino Superior completo,Superior completo,"De R$ 10.001,00 a R$ 20.000,00",Mais de 10 anos,Desempregado(a),Analista Sênior,Vendas e Comércio,Sites de vagas de emprego,"Anúncio em grupos no WhatsApp, E-mail",3,4,4,3,3,3,3,2,4,4,4,4,4,4,3,1,"Empatia, vejo que hoje que nas seleções as mulheres são as que mais se descriminam."
7/17/2024 14:10:43,1,1,Entre 60-64 anos,fem,São Paulo,Osasco,Ensino Superior completo,Superior completo,"De R$ 1.001,00 a R$ 2.000,00",Mais de 10 anos,Aposentado(a),Aposentado(a),Finanças e Contabilidade,Sites das empresas,Anúncio em grupos no WhatsApp,3,4,4,4,3,3,4,3,4,4,4,4,4,4,3,1,
7/17/2024 14:11:06,1,1,Entre 25-29 anos,fem,São Paulo,São Paulo,Ensino Superior completo,Superior completo,"R$ 100.001,00 ou mais",Mais de 10 anos,Empregado(a),Gerente,Marketing e Publicidade,LinkedIn,"Anúncios no Facebook, Menu ""Vagas"" no LinkedIn",4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,1,
7/17/2024 14:11:32,1,1,Entre 30-34 anos,fem,São Paulo,São Paulo,Ensino Superior completo,Superior completo,"De R$ 10.001,00 a R$ 20.000,00",Mais de 10 anos,Empregado(a),Gerente,Marketing e Publicidade,LinkedIn,"Anúncio em grupos no WhatsApp, E-mail, Menu ""Vagas"" no LinkedIn",4,4,4,3,1,0,4,4,4,3,3,3,1,3,1,1,
7/17/2024 14:15:06,1,1,Entre 40-44 anos,fem,São Paulo,Carapicuíba,Ensino Superior completo,Superior completo,"De R$ 3.001,00 a R$ 5.000,00",Mais de 10 anos,Empregado(a),Especialista,Saúde,WhatsApp,Banner/cartaz/outdoor,2,2,2,2,2,2,1,1,1,0,0,0,1,1,1,1,Nao
7/17/2024 14:18:28,1,1,Entre 30-34 anos,fem,São Paulo,Osasco,Ensino Superior completo,Superior completo,"De R$ 1.001,00 a R$ 2.000,00",De 1 até 3 anos,Empregado(a),Analista Júnior,Administração e Negócios,Sites de vagas de emprego,E-mail  ou telefone,4,4,4,3,3,2,4,3,3,2,4,4,4,4,4,Não,"    O ambiente, benefícios  e trabalhar em home seria excelente "
7/17/2024 14:18:58,1,1,Entre 35-39 anos,fem,São Paulo,São Paulo,Ensino Médio completo,Médio completo e superior incompleto,"De R$ 501,00 a R$ 1.000,00",Mais de 3 até 6 anos,Desempregado(a),Autônomo(a),Artes e Design,Pessoalmente na própria empresa,"E-mail, Menu ""Vagas"" no LinkedIn",4,4,4,3,4,3,2,2,3,3,4,4,2,3,2,Não,Mais oportunidades.
7/17/2024 14:19:38,1,1,Entre 50-54 anos,fem,São Paulo,São Paulo,Pós-graduação completa,Superior completo,"De R$ 3.001,00 a R$ 5.000,00",Mais de 10 anos,Empregado(a),Autônomo(a),Saúde,LinkedIn,"Anúncio em grupos no WhatsApp, Anúncios no Facebook, Anúncios no Instagram, Menu ""Vagas"" no LinkedIn",4,4,4,4,3,3,4,3,4,3,3,3,2,3,2,Não,
